,track,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics,filtered_lyrics
0,"Very, Slowly",Twenty-Five Twenty-One OST Part 3,BIBI,62,BIBI,2022-02-20,7GkHIsnziYgk6j1lx2TK6H,0.528,0.423,8,-7.381,1,0.0264,0.00148,0.167,0.249,135.917,214852,4,missing,missing
1,Life is a Bi…,Life is a Bi…,BIBI,60,BIBI,2021-04-28,4d79iPe88TzFewhFk2vrcy,0.722,0.501,10,-6.113,0,0.0625,0.0,0.0857,0.541,144.076,156742,4,missing,missing
2,비누,비누,BIBI,56,BIBI,2019-05-15,0lSJQip2wVidbu1JfZ4IEQ,0.842,0.522,4,-5.815,0,0.0329,0.0,0.191,0.641,119.045,182200,4,missing,missing
3,Loveholic's hangover (feat. Sam Kim),Lowlife Princess: Noir,BIBI,57,Sam Kim,2022-11-18,2FmByq9VHuQ0N7A8KMmQCg,0.815,0.62,2,-4.998,1,0.052,0.0455,0.0916,0.214,103.975,168156,4,missing,missing
4,Dingo X BIBI - she got it,Dingo X BIBI - she got it,BIBI,56,BIBI,2020-08-06,29wNMwCoKetR1EdruKR3I9,0.757,0.687,7,-5.485,0,0.0443,0.0,0.115,0.583,99.992,215736,4,missing,missing
5,Umm… Life,Life is a Bi…,BIBI,52,BIBI,2021-04-28,1VUMGh78m27FPB1vXL9ipW,0.809,0.427,11,-7.948,0,0.0355,0.0277,0.0979,0.127,104.032,131210,4,missing,missing
6,Step?,Step?,BIBI,52,BIBI,2019-11-28,3fU8FWNIgHEOepLTidZWyq,0.644,0.517,2,-7.812,1,0.0525,0.000488,0.0876,0.212,160.048,191667,4,missing,missing
7,Crazy Like You (feat. BIBI),"Bare&Rare, Pt. 1",CHUNG HA,51,BIBI,2022-07-11,0oUK4m2wNIBPfejlcB1N9k,0.536,0.639,9,-3.999,0,0.0447,0.0,0.209,0.502,170.94,175480,3,missing,missing
8,나비,사랑하는 사람들을 위한 지침서,BIBI,49,BIBI,2019-06-12,51bAYkcnw2WvMo4tps2txV,0.535,0.787,8,-4.193,0,0.112,2.41e-06,0.074,0.777,184.003,193430,4,missing,missing
9,I'm good at goodbyes,I'm good at goodbyes,BIBI,47,BIBI,2020-07-10,71dXEYXl5IwX9EkHrrKj07,0.663,0.517,3,-6.904,0,0.0987,2.32e-05,0.109,0.344,90.07,204187,4,missing,missing
