,artist,formatted_lyrics
0,0,Watch me dance
1,0,Watch me sing 
2,0,Watch me dance
3,0,Watch me sing 
4,0,"I got mercy, I got grace"
5,0,Desperado with the scales
6,0,Throw a rose on your body
7,0,Mask of Zorro I'm so wanted 
8,0,Look scared 
9,0,Dice and Ice cube 
10,0,Home girls bitches 
11,0,"Spin it, spin it,pussy "
12,0,Chips andchips and chips and 
13,0,Demon under the table 
14,0,"Risk it, risk it, risk it, till the last dime"
15,0,"Yeah, yeah, yeah"
16,0,"Risk it, risk it, risk it, till the last"
17,0,"B-b-bitches, Ice and home girl, on you, on, home girl"
18,0,"Bitches, Ice and home girl, on you, on, home girl"
19,0,"Bitches, Ice and home girl, on you, on, home girl"
20,0,"Bitches, bitches"
21,0,Risk it till the last dime
22,0,"Give me that, hook that, spin that, roulette"
23,0,"Vodka, in my cup, "
24,0,"Spin it, tip it, strip it, shawty"
25,0,"Give me that, hook that, spin that, roulette"
26,0,Taste the muzzle of a gun
27,0,Taste the of money
28,0,You think I'm dazzle up my 
29,0,Tie that bitch ain't funny chips checks matches and chicks
30,0,"Yeah, yeah, yeah"
31,0,"Risk it, risk it, risk it, till the last"
32,0, champagne 
33,0,"It might be pretty, it might be beautiful"
34,0,It might be grand
35,0,"This might be right, this might be justice"
36,0,But I
37,0,"Welcome, well done"
38,0,Shameless friends of mine ?Hang my pretty head in your room
39,0,Where is love? Where is my sympathy? ?Is it a farm? Is it society?Am I a tiger or a gazelle?
40,0,"It might be pretty, it might be beautiful"
41,0,It might be grand
42,0,"This might be right, this might be justice"
43,0,But I
44,0,You blued my bruise
45,0,Pink me with ties
46,0,You red my mind
47,0,You red my mind
48,0,Black my bones and
49,0,Purple my eyes
50,0,You red my mind
51,0,"Yeah, you red my mind (Ah-ah-ah)"
52,0,"Drip, drip, drip, drip on my waist"
53,0,"And I keep, keep, keep, keep begging"
54,0,"And addicted, I digged it yeah"
55,0,"Addicted, I digged it yeah"
56,0,"Drip, drip, drip, drip on my waist"
57,0,"And I keep, keep, keep, keep begging"
58,0,"And addicted, I digged it, yeah"
59,0,"Addicted, I digged it, yeah"
60,0,"Pet me, pet me Yeah Hm-hm"
61,0,"I like that, I like that "
62,0,Let's ride
63,0,"Oh, oh, oh, oh, oh "
64,0,"Oh, oh, oh, oh, oh "
65,0,"I like that, I like that "
66,0,Let's ride
67,0,"Oh, oh, oh, oh, oh "
68,0,"Oh, oh, oh, oh, oh "
69,0,Maybe If IWoke up in the morning
70,0,Hearing your voice
71,0,Maybe If I was with you 
72,0,The distance between you and me
73,0,It never seems to disappear 
74,0,"I would try, try, try "
75,0,Only if you
76,0,If you come
77,0,The distance between you and me
78,0,It never seems to disappear 
79,0,"Jotto , mm-mm"
80,0,"Jotto , mm-mm-mm"
81,0,Jotto 
82,0,Jotto
83,0, pills and wine 
84,0,"Jotto , mm-mm"
85,0,"Jotto , mm-mm-mm"
86,0,Jotto 
87,0,Jotto
88,0,"If someone hear me, call me "
89,0,You are my wave mayday 
90,0,I'm a castaway
91,0,"Soaking me slowly, slowly"
92,0,"Drowning me cruelly, cruelly"
93,0,"Killing me gently, gently"
94,0,Call him if you see my S.O.S
95,0,You are my wave mayday 
96,0,I'm a castaway
97,0,I need you
98,0,When my instinct hit me bad
99,0,Cryin' like some pussy cat on the bed
100,0,And when my instinct hit me sad
101,0,Mess around this whole town'Cause I'm fucking mad
102,0," , huh-huh-huh"
103,0,When my instinct hit me bad
104,0,Cryin' like some pussy cat on the bed
105,0,And when my instinct hit me sad
106,0,Mess around this whole town'Cause I'm fucking mad
107,0,"Feed me, feed me"
108,0,Please adopt me
109,0,"Pet me, pet me"
110,0,Please comfort me 
111,0,"Feed me, feed me"
112,0,Please adopt me
113,0,"Pet me, pet me"
114,0,Please comfort me 
115,0,I need you
116,0," got my weapon not gonna let it happen check, I got weapon not gonna let it happen bitch, got a weapon"
117,0,Better than a tongue I got weapon
118,0,"Better than a snitch, what just happen?Got a pretty throat will be taken"
119,0,"You better, you better"
120,0,You better learn when she get
121,0,"Yeah, yeah, yeah"
122,0,"You better, you better"
123,0,"Yeah, yeah, yeah, yeah, yeah, yeah"
