,artist_name,lyrics,lyrics_tokenized
0,BIBI, watch me dance watch me sing watch me dance watch me sing i got mercy i got grace desperado with the scales throw a rose on your body mask of zorro i m so wanted look scared ,"['watch', 'me', 'dance', 'watch', 'me', 'sing', 'watch', 'me', 'dance', 'watch', 'me', 'sing', 'i', 'got', 'mercy', 'i', 'got', 'grace', 'desperado', 'with', 'the', 'scales', 'throw', 'a', 'rose', 'on', 'your', 'body', 'mask', 'of', 'zorro', 'i', 'm', 'so', 'wanted', 'look', 'scared']"
1,BIBI, dice and ice cube home girls bitches spin it spin it pussy chips and chips and chips and demon under the table risk it risk it risk it till the last dime yeah yeah yeah risk it risk it risk it till the last b b bitches ice and home girl on you on home girl bitches ice and home girl on you on home girl bitches ice and home girl on you on home girl bitches bitches risk it till the last dime give me that hook that spin that roulette vodka in my cup spin it tip it strip it shawty give me that hook that spin that roulette taste the muzzle of a gun taste the of money you think i m dazzle up my tie that bitch ain t funny chips checks matches and chicks yeah yeah yeah risk it risk it risk it till the last,"['dice', 'and', 'ice', 'cube', 'home', 'girls', 'bitches', 'spin', 'it', 'spin', 'it', 'pussy', 'chips', 'and', 'chips', 'and', 'chips', 'and', 'demon', 'under', 'the', 'table', 'risk', 'it', 'risk', 'it', 'risk', 'it', 'till', 'the', 'last', 'dime', 'yeah', 'yeah', 'yeah', 'risk', 'it', 'risk', 'it', 'risk', 'it', 'till', 'the', 'last', 'b', 'b', 'bitches', 'ice', 'and', 'home', 'girl', 'on', 'you', 'on', 'home', 'girl', 'bitches', 'ice', 'and', 'home', 'girl', 'on', 'you', 'on', 'home', 'girl', 'bitches', 'ice', 'and', 'home', 'girl', 'on', 'you', 'on', 'home', 'girl', 'bitches', 'bitches', 'risk', 'it', 'till', 'the', 'last', 'dime', 'give', 'me', 'that', 'hook', 'that', 'spin', 'that', 'roulette', 'vodka', 'in', 'my', 'cup', 'spin', 'it', 'tip', 'it', 'strip', 'it', 'shawty', 'give', 'me', 'that', 'hook', 'that', 'spin', 'that', 'roulette', 'taste', 'the', 'muzzle', 'of', 'a', 'gun', 'taste', 'the', 'of', 'money', 'you', 'think', 'i', 'm', 'dazzle', 'up', 'my', 'tie', 'that', 'bitch', 'ain', 't', 'funny', 'chips', 'checks', 'matches', 'and', 'chicks', 'yeah', 'yeah', 'yeah', 'risk', 'it', 'risk', 'it', 'risk', 'it', 'till', 'the', 'last']"
2,BIBI, champagne it might be pretty it might be beautiful it might be grand this might be right this might be justice but i welcome well done shameless friends of mine hang my pretty head in your room where is love where is my sympathy is it a farm is it society am i a tiger or a gazelle it might be pretty it might be beautiful it might be grand this might be right this might be justice but i ,"['champagne', 'it', 'might', 'be', 'pretty', 'it', 'might', 'be', 'beautiful', 'it', 'might', 'be', 'grand', 'this', 'might', 'be', 'right', 'this', 'might', 'be', 'justice', 'but', 'i', 'welcome', 'well', 'done', 'shameless', 'friends', 'of', 'mine', 'hang', 'my', 'pretty', 'head', 'in', 'your', 'room', 'where', 'is', 'love', 'where', 'is', 'my', 'sympathy', 'is', 'it', 'a', 'farm', 'is', 'it', 'society', 'am', 'i', 'a', 'tiger', 'or', 'a', 'gazelle', 'it', 'might', 'be', 'pretty', 'it', 'might', 'be', 'beautiful', 'it', 'might', 'be', 'grand', 'this', 'might', 'be', 'right', 'this', 'might', 'be', 'justice', 'but', 'i']"
3,BIBI, bad sad and mad refrain you blued my bruise pink me with ties you red my mind you red my mind black my bones and purple my eyes you red my mind yeah you red my mind ah ah ah drip drip drip drip on my waist and i keep keep keep keep begging and addicted i digged it yeah addicted i digged it yeah drip drip drip drip on my waist and i keep keep keep keep begging and addicted i digged it yeah addicted i digged it yeah pet me pet me yeah hm hm,"['bad', 'sad', 'and', 'mad', 'refrain', 'you', 'blued', 'my', 'bruise', 'pink', 'me', 'with', 'ties', 'you', 'red', 'my', 'mind', 'you', 'red', 'my', 'mind', 'black', 'my', 'bones', 'and', 'purple', 'my', 'eyes', 'you', 'red', 'my', 'mind', 'yeah', 'you', 'red', 'my', 'mind', 'ah', 'ah', 'ah', 'drip', 'drip', 'drip', 'drip', 'on', 'my', 'waist', 'and', 'i', 'keep', 'keep', 'keep', 'keep', 'begging', 'and', 'addicted', 'i', 'digged', 'it', 'yeah', 'addicted', 'i', 'digged', 'it', 'yeah', 'drip', 'drip', 'drip', 'drip', 'on', 'my', 'waist', 'and', 'i', 'keep', 'keep', 'keep', 'keep', 'begging', 'and', 'addicted', 'i', 'digged', 'it', 'yeah', 'addicted', 'i', 'digged', 'it', 'yeah', 'pet', 'me', 'pet', 'me', 'yeah', 'hm', 'hm']"
5,BIBI, ,[]
6,BIBI, i like that i like that let s ride oh oh oh oh oh oh oh oh oh oh i like that i like that let s ride oh oh oh oh oh oh oh oh oh oh  ,"['i', 'like', 'that', 'i', 'like', 'that', 'let', 's', 'ride', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'i', 'like', 'that', 'i', 'like', 'that', 'let', 's', 'ride', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh']"
7,BIBI, maybe if iwoke up in the morning hearing your voice maybe if i was with you the distance between you and me it never seems to disappear i would try try try only if you if you come the distance between you and me it never seems to disappear ,"['maybe', 'if', 'iwoke', 'up', 'in', 'the', 'morning', 'hearing', 'your', 'voice', 'maybe', 'if', 'i', 'was', 'with', 'you', 'the', 'distance', 'between', 'you', 'and', 'me', 'it', 'never', 'seems', 'to', 'disappear', 'i', 'would', 'try', 'try', 'try', 'only', 'if', 'you', 'if', 'you', 'come', 'the', 'distance', 'between', 'you', 'and', 'me', 'it', 'never', 'seems', 'to', 'disappear']"
8,BIBI, jotto mm mm jotto mm mm mm jotto jotto pills and wine jotto mm mm jotto mm mm mm jotto jotto ,"['jotto', 'mm', 'mm', 'jotto', 'mm', 'mm', 'mm', 'jotto', 'jotto', 'pills', 'and', 'wine', 'jotto', 'mm', 'mm', 'jotto', 'mm', 'mm', 'mm', 'jotto', 'jotto']"
10,BIBI, pado if someone hear me call me you are my wave mayday i m a castaway soaking me slowly slowly drowning me cruelly cruelly killing me gently gently call him if you see my s o s you are my wave mayday i m a castaway,"['pado', 'if', 'someone', 'hear', 'me', 'call', 'me', 'you', 'are', 'my', 'wave', 'mayday', 'i', 'm', 'a', 'castaway', 'soaking', 'me', 'slowly', 'slowly', 'drowning', 'me', 'cruelly', 'cruelly', 'killing', 'me', 'gently', 'gently', 'call', 'him', 'if', 'you', 'see', 'my', 's', 'o', 's', 'you', 'are', 'my', 'wave', 'mayday', 'i', 'm', 'a', 'castaway']"
16,BIBI, i need you when my instinct hit me bad cryin like some pussy cat on the bed and when my instinct hit me sad mess around this whole town cause i m fucking mad huh huh huh when my instinct hit me bad cryin like some pussy cat on the bed and when my instinct hit me sad mess around this whole town cause i m fucking mad,"['i', 'need', 'you', 'when', 'my', 'instinct', 'hit', 'me', 'bad', 'cryin', 'like', 'some', 'pussy', 'cat', 'on', 'the', 'bed', 'and', 'when', 'my', 'instinct', 'hit', 'me', 'sad', 'mess', 'around', 'this', 'whole', 'town', 'cause', 'i', 'm', 'fucking', 'mad', 'huh', 'huh', 'huh', 'when', 'my', 'instinct', 'hit', 'me', 'bad', 'cryin', 'like', 'some', 'pussy', 'cat', 'on', 'the', 'bed', 'and', 'when', 'my', 'instinct', 'hit', 'me', 'sad', 'mess', 'around', 'this', 'whole', 'town', 'cause', 'i', 'm', 'fucking', 'mad']"
