,song name,album,artist,featured,release_date,length(ms),popularity,acousticness,danceability,energy,liveness,tempo,valence
0,Keeping Tabs,Nicole,NIKI,['NIKI'],2022-08-12,177720,65,0.0892,0.651,0.627,0.0941,169.955,0.441
1,Oceans & Engines,Oceans & Engines,NIKI,['NIKI'],2022-07-08,336000,71,0.637,0.395,0.309,0.0931,142.012,0.0673
2,High School in Jakarta,High School in Jakarta,NIKI,['NIKI'],2022-08-05,219036,76,0.527,0.871,0.485,0.169,119.976,0.494
3,Every Summertime,Every Summertime,NIKI,['NIKI'],2021-08-10,215686,79,0.393,0.628,0.676,0.0978,78.996,0.723
4,lowkey,lowkey,NIKI,['NIKI'],2019-04-24,171355,77,0.432,0.752,0.494,0.0869,117.901,0.227
5,I Like U,I Like U,NIKI,['NIKI'],2017-09-27,267732,71,0.071,0.48,0.526,0.0879,199.662,0.374
6,urs,wanna take this downtown?,NIKI,['NIKI'],2019-05-17,156500,68,0.834,0.72,0.415,0.0893,94.88,0.235
7,Before,Before,NIKI,['NIKI'],2022-06-03,234057,57,0.485,0.67,0.602,0.119,140.012,0.321
8,Lose,MOONCHILD,NIKI,['NIKI'],2020-09-10,256001,65,0.846,0.41,0.316,0.124,133.288,0.22
9,California (feat. Warren Hue),California (feat. Warren Hue),88rising,"['88rising', 'Rich Brian', 'NIKI']",2021-05-27,230395,62,0.633,0.743,0.631,0.0963,141.955,0.428
10,La La Lost You - Acoustic Version,NIKI Acoustic Sessions: Head In The Clouds II,NIKI,"['NIKI', '88rising']",2019-08-11,208510,70,0.908,0.606,0.196,0.348,100.873,0.391
11,La La Lost You,Head In The Clouds II,88rising,"['88rising', 'NIKI']",2019-10-11,200000,67,0.315,0.721,0.582,0.065,100.083,0.487
12,Vintage,Zephyr,NIKI,['NIKI'],2018-05-23,177320,61,0.0114,0.771,0.816,0.339,104.958,0.438
13,Chilly,Chilly,NIKI,['NIKI'],2017-12-18,230000,57,0.617,0.734,0.271,0.101,103.241,0.237
14,La Cienega,Head In The Clouds,88rising,"['88rising', 'Joji', 'NIKI']",2018-07-20,192606,59,0.506,0.61,0.318,0.102,109.491,0.214
15,Split,Split,88rising,"['88rising', 'NIKI']",2021-11-18,207013,63,0.431,0.691,0.509,0.0885,113.961,0.473
16,Around,Zephyr,NIKI,['NIKI'],2018-05-23,183546,56,0.887,0.485,0.125,0.108,130.234,0.153
17,Indigo,Head In The Clouds II,88rising,"['88rising', 'NIKI']",2019-10-11,173473,62,0.0958,0.819,0.664,0.263,144.988,0.71
18,See U Never,See U Never,NIKI,['NIKI'],2017-07-11,221620,54,0.295,0.795,0.735,0.0719,129.982,0.243
19,odds,wanna take this downtown?,NIKI,['NIKI'],2019-05-17,183271,49,0.441,0.593,0.469,0.141,165.038,0.401
20,Dancing With The Devil,Zephyr,NIKI,['NIKI'],2018-05-23,162466,50,0.217,0.76,0.558,0.119,102.057,0.462
