,artist,lyrics
0,BIBI,"[비비 ""나쁜년"" 가사][Verse 1]들어오라 해눈을 깔어 왜비밀로 할게네 부정과 죄전부 드러내자릴 넘보네눈감아 줄게네 본성과 뇌춤추는 저 장미를 꺾어완성한 왕관 나의 것다시는 얼신 못하게가시를 친 성관[Pre-Chorus]Watch me danceWatch me sing여기까진 놓아줄게도망가 얼른Watch me danceWatch me sing다신 붙잡히지 마그땐 보게 되는 거야나쁜년[Chorus]나쁜년 아주 그냥 나쁜년나쁜년 아주 그냥 나쁜년나쁜년 아주 그냥 나쁜년다신 붙잡히지 마그땐 보게 되는 거야미친년[Verse 2]I got mercy, I got graceDesperado with the scalesThrow a rose on your bodyMask of Zorro I'm so wanted그러 쥐어 나를 꺾어상처가 남은 손을 적셔Look scared안아 너를 보듬어 주지술로 씻어 죄를 사하여주지"
1,BIBI,"[비비 ""사장님 도박은 재미로 하셔야 합니다"" 가사][Verse 1]Dice and Ice cube 여기 너무 위험해Home girls bitches 카드를 막 섞네Spin it, spin it, pussy들 다 보내Chips and chips and chips and 목숨을 거네나는 여기를 걸고 쟤는 저년을 걸고Demon under the table 말을 걸고Risk it, risk it, risk it, till the last dime[Pre-Chorus]Yeah, yeah, yeahRisk it, risk it, risk it, till the last[Chorus]B-b-bitches, Ice and home girl, on you, on, home girlBitches, Ice and home girl, on you, on, home girlBitches, Ice and home girl, on you, on, home girlBitches, bitchesRisk it till the last dimeGive me that, hook that, spin that, rouletteVodka, in my cup, 빙빙 도는Spin it, tip it, strip it, shawtyGive me that, hook that, spin that, roulette[Verse 2]Taste the muzzle of a gunTaste the 맛 of moneyYou think I'm dazzle up my 땅Tie that bitch ain't funny공놀이 잠 못 드는 밤찾을 걸 돈에 깔려 죽은 나다음 chips 또 다음 checks다음 matches and 다음 chicks[Pre-Chorus]Yeah, yeah, yeahRisk it, risk it, risk it, till the last"
2,BIBI,"[비비 ""가면무도회"" 가사][Verse 1]죄악의 단어위선의 가면넘쳐흐르는 무도회장터지는 champagne포도주와 빵배부른 돼지들의 춤[Pre-Chorus]It might be pretty, it might be beautifulIt might be grandThis might be right, this might be justiceBut I[Chorus]죽어라 불러라 거짓말의 노래를죽어라 따라춰 악마들의 춤사위성대한 잔치의 중심 커다란 단두대 아래굴러다니는 목은 누구의 것[Verse 2]Welcome, well doneShameless friends of mine다음은 누구일까?Hang my pretty head in your roomWhere is love? Where is my sympathy?우린 무엇을 잃었나?Is it a farm? Is it society?Am I a tiger or a gazelle?[Pre-Chorus]It might be pretty, it might be beautifulIt might be grandThis might be right, this might be justiceBut I[Chorus]죽어라 불러라 거짓말의 노래를죽어라 따라춰 악마들의 춤사위성대한 잔치의 중심 커다란 단두대 아래굴러다니는 목은 누구의 것"
3,BIBI,"[비비 ""BAD SAD AND MAD"" 가사][Refrain]You blued my bruisePink me with tiesYou red my mindYou red my mindBlack my bones andPurple my eyesYou red my mindYeah, you red my mind (Ah-ah-ah)[Chorus]Drip, drip, drip, drip on my waistAnd I keep, keep, keep, keep beggingAnd addicted, I digged it yeahAddicted, I digged it yeahDrip, drip, drip, drip on my waistAnd I keep, keep, keep, keep beggingAnd addicted, I digged it, yeahAddicted, I digged it, yeah[Verse]Pet me, pet me내게 부족한 것채워 채워 줄 수 있는건 너단지 너 Yeah단지 너 Hm-hm"
4,BIBI,missing
5,BIBI,"[비비 ""신경쓰여"" 가사][Verse 1]불 꺼진 방안 뒹굴다전화는 왜 잠만 잘 자고혹시 그냥 쓱 오려나기다린 티 나면 안 되는데[Pre-Chorus]신경쓰여 신경쓰여같이 있고 싶단 말이[Chorus]오늘 밤 나의 모든 걸 알아줘너의 속마음을 보여줘속삭여줘오 나만 알아들을 수 있게오늘 밤 나의 모든 걸 다 담아줘너의 눈동자에 새겨줘입 맞춰줘오직 너의 눈빛에만 반짝이는 별이 될래[Verse 2]문틈으로 스미는 너의 체온, 냄새이 순간 나 젤 예뻐야 해[Pre-Chorus]신경쓰여 신경쓰여내가 보고 싶단 말이[Chorus]오늘 밤 너의 작은 인형이 될게너의 주머니에 넣어줘날 데려가 줘어디든 너의 곁에 있고 싶어오늘 밤 나의 사랑을 다 먹어줘너의 심장 속에 가둬줘영원토록 오 나만 보면 두근두근오늘을 기억해줘"
6,BIBI,"[비비 ""모토스피드 24시"" 가사][Verse 1]밤 만이 계속되는 이 심플한 도시바쁘고 슬픈 자들만이 나와놀지사랑을 나누며 찰나들을 나누며빠른 시간 속에 영원히 난 쫒기겠지[Pre-Chorus]I like that, I like that텅 빈 도로 위에 너와 나만이 서있지Let's ride[Chorus]Oh, oh, oh, oh, oh우린 살아있지Oh, oh, oh, oh, oh너와 난 살아있지[Verse 2]은밀한 비밀들이 숨겨진 사람 숲구정물이 흐르는 도시의 배산임수상처를 숨기며 짠 눈물을 삼키며빠른 시간들은 너와 나를 뒤쫓겠지[Pre-Chorus]I like that, I like that텅 빈 도로 위에 너와 나만이 서있지Let's ride[Chorus]Oh, oh, oh, oh, oh우린 살아있지Oh, oh, oh, oh, oh너와 난 살아있지[Verse 3]만나고 헤어지는 이기적인 운명기다려주지를 않는 이 분주한 영혼두 눈을 가리며 이 바람을 가르며너와 나는 영원히 이곳에 살아있지"
7,BIBI,"[비비 ""우리가 헤어져야 했던 이유"" 가사][Verse 1]Maybe If IWoke up in the morningHearing your voiceMaybe If I was with you어쩌면 우리 어려웠던 날들함께 보냈었다면혹시 우린 어땠을까[Pre-Chorus]The distance between you and meIt never seems to disappear얼어붙은 나의 말들과 너[Chorus]만약에 우리 우연히다시 또 만난다면만약에 내가 널 위해조금 달라진다면우리가 헤어져야만 했던 이유도I would try, try, try안아줄 수 있을까[Verse 2]조금은 다른기억의 조각들하지만 꼭 닮은그리움의 마음들은Only if youIf you come[Pre-Chorus]The distance between you and meIt never seems to disappear멈춰버린 우리 추억과 너"
8,BIBI,"[비비 ""조또"" 가사][Verse 1]뒤도 돌아보지 않고 떠나더니옷깃 부여잡는 손을 쳐내더니미련 한 톨 없는 눈으로날 똑바로 쳐다보곤웃으면서 뒤를 돌더니[Pre-Chorus]어떤 대단한 걸 바랬길래어떤 눈 부신 걸 만났길래걸레짝이 된 네 몸과 마음을 가지고 선내 방문을 두드리는 걸까[Chorus]Jotto관심이 없어, mm-mmJotto상관이 없어, mm-mm-mmJotto반갑지가 않은데Jotto기다려볼래[Verse 2]치마폭에 파고드는 너를 보니인간을 향한 혐오가 오르는 중너가 내게 준 불안과 그리움 또 pills and wine웃으면서 꿀꺽 삼키어본다[Pre-Chorus]어떤 슬픈 일이 있었길래어떤 멋진 사랑을 했길래걸레짝이 된 네 몸과 마음을 가지고선내 방문을 두드리는 걸까[Chorus]Jotto관심이 없어, mm-mmJotto상관이 없어, mm-mm-mmJotto반갑지가 않은데Jotto기다려볼래"
9,BIBI,missing
