,song name,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,dokubana,dokubana,ATARASHII GAKKO!,19,ATARASHII GAKKO!,2017-06-07,7tfxKVvdUR4qDCcGfGQ6R5,0.44,0.962,11,-3.1,0,0.0791,1.52e-05,0.109,0.36,89.857,246667,4
1,wakaranai,dokubana,ATARASHII GAKKO!,19,ATARASHII GAKKO!,2017-06-07,0ZvakUUjZvIQyrKdZRtyny,0.863,0.733,0,-4.944,0,0.0648,4.99e-05,0.171,0.586,124.98,236400,4
2,kimiwaina'17,kimiwaina'17,ATARASHII GAKKO!,19,ATARASHII GAKKO!,2017-10-25,0zWV5w3jEkqlX2TuCYm2GS,0.574,0.967,7,-3.123,0,0.0451,0.000232,0.401,0.723,139.994,251600,4
3,esuenuesunijyuyoji,kimiwaina'17,ATARASHII GAKKO!,16,ATARASHII GAKKO!,2017-10-25,7rx3EYv0AFFhg4v6sW7lQ8,0.453,0.99,9,-1.947,1,0.178,0.000261,0.159,0.36,100.015,247867,4
4,koinosyadanki feat H ZETTRIO,koinosyadanki feat H ZETTRIO,ATARASHII GAKKO!,23,H ZETTRIO,2018-01-24,78g8H4rHAmPoMeYUsLkjTa,0.6,0.743,7,-6.4,0,0.0377,0.00548,0.117,0.445,117.998,260339,4
5,saisyu jinrui,saisyu jinrui,ATARASHII GAKKO!,23,ATARASHII GAKKO!,2018-02-28,1usJA00l7KV2tpzX8XxTWL,0.576,0.989,5,-1.082,0,0.0463,0.49,0.248,0.67,95.973,259333,4
6,okami no uta,ookami no uta,ATARASHII GAKKO!,19,H ZETTRIO,2018-08-29,0FKQa1iiwbxpgIVUIj8QvH,0.554,0.882,4,-3.798,0,0.0689,0.00022,0.0984,0.86,111.752,227467,4
7,amayo no seppun,ookami no uta,ATARASHII GAKKO!,18,H ZETTRIO,2018-08-29,0vN7fYw6uVJfBgd34Ck212,0.812,0.684,8,-6.162,0,0.0362,0.0247,0.197,0.68,136.157,251467,4
8,mayoeba toutoshi,mayoeba toutoshi,ATARASHII GAKKO!,20,ATARASHII GAKKO!,2018-12-12,3D74eJAnFTZeLGicU7dcIg,0.484,0.98,9,-8.762,1,0.0741,0.00154,0.0508,0.416,93.998,265532,4
9,koi geba,koi geba,ATARASHII GAKKO!,27,ATARASHII GAKKO!,2019-02-06,05kOjSsKohxLzxruv9TH1G,0.562,0.943,7,-3.314,0,0.0686,1.41e-05,0.374,0.49,101.078,253400,4
10,Quesera sera,Quesera sera,ATARASHII GAKKO!,41,ATARASHII GAKKO!,2020-05-15,3pyU7up8u5Fnx9RF3BFhOa,0.881,0.657,1,-5.166,1,0.0418,0.0,0.0381,0.931,135.977,213067,4
11,KOIBUMI,KOIBUMI,ATARASHII GAKKO!,39,ATARASHII GAKKO!,2020-05-22,1aT8DhQBZcLIMLTBaFIwi6,0.63,0.88,5,-4.541,0,0.0648,4.13e-06,0.194,0.695,168.975,240285,4
12,sekigae Gattuso,maenarawanai,ATARASHII GAKKO!,25,ATARASHII GAKKO!,2018-03-21,6mQRE94IhbRLYgtNmdkEHK,0.487,0.967,9,-0.978,0,0.0524,0.00292,0.0851,0.596,100.036,189000,4
13,kimiwaina'17,maenarawanai,ATARASHII GAKKO!,34,ATARASHII GAKKO!,2018-03-21,28VG246EG1xZaKB8iQ0tXX,0.573,0.962,7,-3.54,0,0.0428,0.000142,0.424,0.707,139.984,248667,4
14,koinosyadanki feat H ZETTRIO,maenarawanai,ATARASHII GAKKO!,42,H ZETTRIO,2018-03-21,22t28uO1vo5zM2yWCgGJGN,0.577,0.816,7,-2.809,0,0.0408,0.00106,0.155,0.378,117.971,255600,4
15,wakaranai,maenarawanai,ATARASHII GAKKO!,32,ATARASHII GAKKO!,2018-03-21,3eusuilhnPfka2GnCPI1w1,0.862,0.724,0,-5.351,0,0.0688,5.33e-05,0.165,0.58,125.023,237800,4
16,zzz,maenarawanai,ATARASHII GAKKO!,33,ATARASHII GAKKO!,2018-03-21,6AFyBKENjWJBxwjcFTtEpo,0.736,0.583,0,-4.451,1,0.0375,0.0054,0.21,0.802,104.906,253867,4
17,dokubana,maenarawanai,ATARASHII GAKKO!,25,ATARASHII GAKKO!,2018-03-21,7CJPt3SdEB2QCtHOIFqEPc,0.437,0.955,11,-3.503,0,0.0836,4.5e-05,0.0938,0.399,89.889,246200,4
18,toumeigirl(H ZETT M edit ver.),maenarawanai,ATARASHII GAKKO!,30,ATARASHII GAKKO!,2018-03-21,3sDxPtEjs8pIuAecinyCjN,0.511,0.859,1,-1.871,0,0.039,8.4e-06,0.161,0.525,145.068,259067,4
19,saisyu jinrui,maenarawanai,ATARASHII GAKKO!,34,ATARASHII GAKKO!,2018-03-21,1kKh9DQIjd0ncdP6S2VJXI,0.576,0.989,5,-1.082,0,0.0463,0.49,0.248,0.67,95.973,259333,4
20,Pilotis,maenarawanai,ATARASHII GAKKO!,26,ATARASHII GAKKO!,2018-03-21,02Ue4r5SAu6aQgCq1zMt5q,0.694,0.564,8,-4.086,1,0.037,5.82e-05,0.0992,0.731,199.917,299400,4
21,shiken zenya,wakage ga itaru,ATARASHII GAKKO!,37,ATARASHII GAKKO!,2019-03-06,6JNvwvaHG3T2nuLRSI53Vr,0.714,0.954,2,-2.733,1,0.293,0.575,0.111,0.651,134.832,258333,4
22,mayoeba toutoshi,wakage ga itaru,ATARASHII GAKKO!,30,ATARASHII GAKKO!,2019-03-06,73kbULxbsaqjhjTMonGHIV,0.462,0.997,4,-1.031,1,0.0945,0.000164,0.058,0.3,94.041,261867,4
23,masage Cannavaro,wakage ga itaru,ATARASHII GAKKO!,28,ATARASHII GAKKO!,2019-03-06,6Aosfh6wuuDpjy1EMlQVck,0.623,0.638,11,-5.2,1,0.104,0.00153,0.144,0.793,174.082,233867,4
24,koi geba,wakage ga itaru,ATARASHII GAKKO!,52,ATARASHII GAKKO!,2019-03-06,4Vvz2vcRqx8tYyl4QdOjoA,0.562,0.943,7,-3.314,0,0.0686,1.41e-05,0.374,0.49,101.078,253400,4
25,amayo no seppun,wakage ga itaru,ATARASHII GAKKO!,37,H ZETTRIO,2019-03-06,6a8v2Mef7VdpFEpS04TSzM,0.811,0.684,8,-6.162,0,0.0364,0.0247,0.197,0.68,136.139,251867,4
26,stripper ni eikou wo,wakage ga itaru,ATARASHII GAKKO!,27,H ZETTRIO,2019-03-06,1FRWqKXIev4V0PfkyKL5m8,0.929,0.51,3,-8.218,1,0.0389,0.00913,0.111,0.0542,114.045,282533,1
27,okami no uta,wakage ga itaru,ATARASHII GAKKO!,41,H ZETTRIO,2019-03-06,58RpaRl4kdj9LAGA93ERcT,0.554,0.882,4,-3.798,0,0.0689,0.00022,0.0992,0.86,111.752,227000,4
28,chirachirachirami shiken toujitsu,wakage ga itaru,ATARASHII GAKKO!,26,ATARASHII GAKKO!,2019-03-06,1jvLWuD9rXhEafPMTXsBcL,0.857,0.694,6,-4.241,0,0.0485,0.000245,0.367,0.806,139.989,235600,4
29,toumei boy,wakage ga itaru,ATARASHII GAKKO!,32,ATARASHII GAKKO!,2019-03-06,53LYWoukChENAf3hkdZS2X,0.572,0.8,2,-2.86,0,0.0409,0.025,0.33,0.603,83.009,264200,4
30,rakuen nite watashi jigoku,wakage ga itaru,ATARASHII GAKKO!,34,ATARASHII GAKKO!,2019-03-06,25NLUXr2EgWnyWckSfMUzG,0.751,0.796,10,-2.706,0,0.0281,1.23e-05,0.151,0.87,128.041,278267,4
31,shiritai,wakage ga itaru,ATARASHII GAKKO!,25,ATARASHII GAKKO!,2019-03-06,0DGn0Maon4hoONGS17k8iw,0.512,0.456,0,-7.016,1,0.0251,0.0052,0.156,0.19,138.183,215933,4
32,NAINAINAI,NAINAINAI,ATARASHII GAKKO!,48,ATARASHII GAKKO!,2021-01-20,4LnMz836E4F1Z3qIPxUGVR,0.907,0.785,5,-8.036,0,0.12,5.39e-06,0.167,0.776,115.015,193877,4
33,SYOUJYO GANNEN,URBANGARDE of Love and Fantasy,Urbangarde,8,Urbangarde,2018-11-21,4bOPiiUQJv1xux1AVbq85m,0.584,0.984,2,-1.357,1,0.0436,0.000314,0.0233,0.757,100.052,244307,4
34,Freaks,Freaks,88rising,45,Warren Hue,2021-03-02,7IdKSSqLyFsDCe5wKYe0aG,0.755,0.82,1,-7.967,0,0.0476,1.91e-06,0.0804,0.504,126.981,133803,4
35,OTONABLUE,OTONABLUE,ATARASHII GAKKO!,48,ATARASHII GAKKO!,2020-02-28,2ay8z5vGqKTSpGkmOR9IAo,0.876,0.815,11,-5.354,0,0.0884,0.0,0.149,0.696,130.034,185538,4
36,Pineapple Kryptonite - Yohji Igarashi Remix,Pineapple Kryptonite (Yohji Igarashi Remix),ATARASHII GAKKO!,38,Yohji Igarashi,2022-05-24,52ezESPnCGt9NBkkwuWTST,0.535,0.876,5,-5.685,0,0.0491,0.678,0.0774,0.334,160.041,357000,4
37,BIBI Vengeance,Lowlife Princess: Noir,BIBI,76,BIBI,2022-11-17,0ra3bPUOj2YnY4FJHXtgHZ,0.442,0.748,11,-4.718,0,0.0895,0.000128,0.0642,0.408,99.981,165135,4
38,The Weekend,The Weekend,88rising,71,BIBI,2021-10-14,5q3LwAHTqo9d3rET2EA9Nq,0.784,0.521,1,-5.701,1,0.0322,4.75e-06,0.0995,0.817,101.491,167662,4
39,Best Lover,Head In The Clouds Forever,88rising,67,BIBI,2022-04-16,0iWFz0Q5Qha9bx325ocFWq,0.74,0.663,7,-5.393,1,0.272,0.0,0.121,0.519,82.004,152911,4
40,LAW (Prod. Czaer),Street Man Fighter Original Vol.3 (Mission by Rank),Various Artists,70,BIBI,2022-09-06,0VES0jpNQEdRpD31gYDIMe,0.756,0.9,2,-4.428,1,0.0843,0.000111,0.237,0.55,128.054,189373,4
41,KAZINO,KAZINO,BIBI,68,BIBI,2020-04-29,245onUPHGD1DYuiacxTuW0,0.625,0.686,6,-3.715,0,0.0414,0.0,0.11,0.263,133.041,185947,4
42,Animal Farm,Animal Farm,BIBI,67,BIBI,2022-09-27,3gAXVQOR0h7Ks71lsr5MFZ,0.617,0.57,5,-4.28,0,0.0308,5.92e-06,0.55,0.375,107.971,203946,3
43,BAD SAD AND MAD,Life is a Bi…,BIBI,66,BIBI,2021-04-28,0zPbUxvYRlCGwruakkXPLI,0.746,0.558,0,-7.47,0,0.088,0.00019,0.0904,0.638,90.013,154988,4
44,"Very, Slowly",Twenty-Five Twenty-One OST Part 3,BIBI,62,BIBI,2022-02-20,7GkHIsnziYgk6j1lx2TK6H,0.528,0.423,8,-7.381,1,0.0264,0.00148,0.167,0.249,135.917,214852,4
45,Restless,LISTEN 035 Restless,BIBI,62,BIBI,2020-02-02,4AHNi316rl3KI3hKIsdxZe,0.575,0.607,5,-6.897,1,0.0274,0.000112,0.115,0.298,89.985,267080,4
46,MotoSpeed 24,Sweet Sorrow of Mother,BIBI,59,BIBI,2022-10-24,0BPwEuU9qegqVSob1Ihm97,0.61,0.597,11,-5.169,1,0.0294,1.81e-05,0.136,0.295,95.004,133905,4
47,Maybe if,"Our Beloved Summer (Original Television Soundtrack), Pt. 2",BIBI,59,BIBI,2021-12-13,6MxIazgQENgaa6StpFxGpu,0.593,0.437,0,-7.098,1,0.0552,0.0,0.0919,0.484,121.662,209600,4
48,JOTTO,Lowlife Princess: Noir,BIBI,58,BIBI,2022-11-18,2hP0BkoawxEbnT78BlcILq,0.701,0.755,9,-4.16,1,0.0929,0.0,0.243,0.488,105.005,193856,4
49,Life is a Bi…,Life is a Bi…,BIBI,60,BIBI,2021-04-28,4d79iPe88TzFewhFk2vrcy,0.722,0.501,10,-6.113,0,0.0625,0.0,0.0857,0.541,144.076,156742,4
50,PADO,PADO,BIBI,56,BIBI,2021-09-10,1PSDpiTgnkxHc7GhKrHCaA,0.69,0.784,5,-5.235,1,0.0324,0.0,0.152,0.642,120.101,193133,4
51,비누,비누,BIBI,56,BIBI,2019-05-15,0lSJQip2wVidbu1JfZ4IEQ,0.842,0.522,4,-5.815,0,0.0329,0.0,0.191,0.641,119.045,182200,4
52,Loveholic's hangover (feat. Sam Kim),Lowlife Princess: Noir,BIBI,57,Sam Kim,2022-11-18,2FmByq9VHuQ0N7A8KMmQCg,0.815,0.62,2,-4.998,1,0.052,0.0455,0.0916,0.214,103.975,168156,4
53,Dingo X BIBI - she got it,Dingo X BIBI - she got it,BIBI,56,BIBI,2020-08-06,29wNMwCoKetR1EdruKR3I9,0.757,0.687,7,-5.485,0,0.0443,0.0,0.115,0.583,99.992,215736,4
54,Umm… Life,Life is a Bi…,BIBI,52,BIBI,2021-04-28,1VUMGh78m27FPB1vXL9ipW,0.809,0.427,11,-7.948,0,0.0355,0.0277,0.0979,0.127,104.032,131210,4
55,Step?,Step?,BIBI,52,BIBI,2019-11-28,3fU8FWNIgHEOepLTidZWyq,0.644,0.517,2,-7.812,1,0.0525,0.000488,0.0876,0.212,160.048,191667,4
56,Witch Hunt,Lowlife Princess: Noir,BIBI,57,BIBI,2022-11-18,51C2Xp8avmQpLwJWqt3YJK,0.763,0.698,9,-6.344,1,0.0587,3.01e-06,0.0947,0.708,140.012,104697,4
57,Never Gonna Come Down,Shang-Chi and The Legend of The Ten Rings: The Album,88rising,51,BIBI,2021-09-03,2u2QmdOex0MnbWuHmC7jcD,0.777,0.689,11,-5.291,1,0.0785,0.0,0.062,0.873,150.036,203800,4
58,Crazy Like You (feat. BIBI),"Bare&Rare, Pt. 1",CHUNG HA,51,BIBI,2022-07-11,0oUK4m2wNIBPfejlcB1N9k,0.536,0.639,9,-3.999,0,0.0447,0.0,0.209,0.502,170.94,175480,3
59,PIRI the dog,Life is a Bi…,BIBI,50,BIBI,2021-04-28,6gabKCONBTCv2n84TzKqU7,0.872,0.466,11,-7.113,1,0.0637,2.7e-05,0.126,0.348,138.039,140827,4
60,Blade,Lowlife Princess: Noir,BIBI,59,BIBI,2022-11-18,0UM7h0QxpkKqBA8t9EFFsH,0.624,0.76,3,-3.583,1,0.0418,0.00526,0.378,0.178,139.964,190569,4
61,AUTOMATIC,AUTOMATIC,Various Artists,53,twlv,2020-10-14,2xYnqYBNL62ypPiA0wjD0s,0.72,0.703,8,-5.281,1,0.0409,0.0,0.121,0.492,99.999,268293,4
62,Eat My Love,Eat My Love,BIBI,49,BIBI,2021-02-01,0nkmvo78mFGGRab2BwK37i,0.833,0.743,8,-4.408,1,0.0367,0.0,0.104,0.802,119.981,162867,4
63,Birthday Cake,Life is a Bi…,BIBI,49,BIBI,2021-04-28,7pWDe8ZTlJhviurwrCYU1c,0.645,0.276,1,-9.343,0,0.0423,1.46e-05,0.0926,0.415,107.933,136841,4
64,Wet Nightmare,Lowlife Princess: Noir,BIBI,56,BIBI,2022-11-18,1MCRRGM8G6papoKnE7xtLN,0.596,0.505,11,-7.287,0,0.0493,0.00736,0.203,0.121,144.225,178314,4
65,Eleven (feat. BIBI),Blueline,twlv,49,BIBI,2019-03-15,1UaHqU3pJSczM0SijabTtn,0.502,0.576,6,-6.145,1,0.0466,0.0,0.17,0.205,89.897,196520,4
66,나비,사랑하는 사람들을 위한 지침서,BIBI,49,BIBI,2019-06-12,51bAYkcnw2WvMo4tps2txV,0.535,0.787,8,-4.193,0,0.112,2.41e-06,0.074,0.777,184.003,193430,4
67,Hanryang,Hanryang,Min Kyunghoon,51,BIBI,2020-12-19,2JHHa7MKQahUQi5d4At1GZ,0.698,0.729,2,-3.67,1,0.101,0.0,0.0918,0.306,140.083,202867,4
68,She Said (with BIBI),with HER,Crush,48,BIBI,2020-10-20,53ea1y50REK9XOjzEmsm4W,0.685,0.655,10,-4.749,0,0.129,0.0,0.102,0.574,142.087,208787,4
69,I'm good at goodbyes,I'm good at goodbyes,BIBI,47,BIBI,2020-07-10,71dXEYXl5IwX9EkHrrKj07,0.663,0.517,3,-6.904,0,0.0987,2.32e-05,0.109,0.344,90.07,204187,4
70,EVERYTHING,EVERYTHING,Way Ched,47,Coogie,2020-11-15,1KW2m4ofkMZOLSFCb5Hjug,0.745,0.728,4,-4.846,0,0.0606,0.0,0.0995,0.717,95.021,206393,4
71,NAAN,"NAAN (From The Original TV Show ""Live On"")",BIBI,45,BIBI,2020-12-08,5bhAoJiNO8a2FIgRE5ypxf,0.585,0.603,3,-4.546,1,0.0391,0.00386,0.12,0.325,141.962,167240,4
