danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,primary_genre
0.442,0.748,11,-4.718,0,0.0895,0.000128,0.0642,0.408,99.981,165135,R&B
0.625,0.686,6,-3.715,0,0.0414,0.0,0.11,0.263,133.041,185947,R&B
0.617,0.57,5,-4.28,0,0.0308,5.92e-06,0.55,0.375,107.971,203946,R&B
0.746,0.558,0,-7.47,0,0.088,0.00019,0.0904,0.638,90.013,154988,R&B
0.575,0.607,5,-6.897,1,0.0274,0.000112,0.115,0.298,89.985,267080,R&B
0.61,0.597,11,-5.169,1,0.0294,1.81e-05,0.136,0.295,95.004,133905,R&B
0.593,0.437,0,-7.098,1,0.0552,0.0,0.0919,0.484,121.662,209600,Pop
0.701,0.755,9,-4.16,1,0.0929,0.0,0.243,0.488,105.005,193856,R&B
0.69,0.784,5,-5.235,1,0.0324,0.0,0.152,0.642,120.101,193133,R&B
0.763,0.698,9,-6.344,1,0.0587,3.01e-06,0.0947,0.708,140.012,104697,R&B
0.872,0.466,11,-7.113,1,0.0637,2.7e-05,0.126,0.348,138.039,140827,R&B
0.624,0.76,3,-3.583,1,0.0418,0.00526,0.378,0.178,139.964,190569,R&B
0.833,0.743,8,-4.408,1,0.0367,0.0,0.104,0.802,119.981,162867,R&B
0.645,0.276,1,-9.343,0,0.0423,1.46e-05,0.0926,0.415,107.933,136841,R&B
0.596,0.505,11,-7.287,0,0.0493,0.00736,0.203,0.121,144.225,178314,R&B
0.585,0.603,3,-4.546,1,0.0391,0.00386,0.12,0.325,141.962,167240,R&B
0.369,0.405,2,-5.972,0,0.0325,0.0,0.395,0.15,112.903,202398,R&B
0.505,0.722,6,-3.443,0,0.0353,0.000128,0.248,0.243,97.977,201160,Rock
0.642,0.455,9,-9.859,0,0.0317,8.62e-06,0.108,0.124,83.527,186750,R&B
0.6,0.923,1,-1.926,0,0.105,0.0,0.32,0.712,160.025,186907,Pop
0.741,0.662,9,-4.639,1,0.205,0.0,0.306,0.713,109.953,168000,R&B
0.843,0.75,5,-4.942,1,0.0421,0.0,0.0275,0.835,109.886,179760,Pop
0.769,0.803,5,-3.501,0,0.115,0.0,0.0832,0.503,119.923,179227,Pop
0.446,0.475,11,-5.953,1,0.0293,0.0,0.0859,0.112,139.267,232080,Pop
0.397,0.697,1,-3.749,1,0.0561,0.0,0.198,0.414,120.926,204760,Pop
0.502,0.692,10,-6.174,0,0.262,0.000182,0.174,0.608,154.301,200880,Pop
