filtered_lyrics,primary_genre
 Maybe If IWoke up in the morningHearing your voiceMaybe If I was with you The distance between you and meIt never seems to disappear I would try try try Only if youIf you come The distance between you and meIt never seems to disappear ,Pop
 SPARKLING Come and talk to me baby La la la la Love me Tell me what to do what to doTouch Ah hoo Ouch Ah hoo Tell me what to do what to do Ah yah ooh no away Sparkle Oh baby you re all mine mine I I I Oh baby you re all mine mine I I I Drop it So oh oh oh oh oh you make me sparkle Ah Oh oh oh oh oh oh I ll be your sparkleSparkling flavor No no oh my favorite Take me all the way oh Fallin lovin I ma dive inGosh Ah hoo Crush Ah hoo Tell me what to do what to do Ah yah ooh no oh Sparkle ,Pop
 Louder Hey Say No matter what it is I will be listeningWay Ah ah ah Free louder louder all the hater haterIt s time to raise our voice Raise our voice Let s go and make some noise future future Breakdown Hey Hey Louder louder Pray Okay Yeah you are Brave Ah ah ah louder louder all the hater haterIt s time to raise our voice Raise our voice Let s go and make some noise future futur ,Pop
 California Dream broken hmm hmm ocean romantic Come on California girls on the beachOn the West CoastBaby let s go let s goGimme that Hollywood heatMy California dream Post Chorus Ooh ooh ooh ooh ooh my California dreamOoh ooh ooh ooh ooh that s where I wanna beOoh ooh ooh ooh ooh my California dreamOn the West Coast baby let s go let s go,Pop
 Good Night My Princess anybody home Ooh I know there s no one Then you play my favorite song again I don t wanna cryEvery night I try It breaks my heart in two Good night my princess in my dream my favorite song again I don t wanna cryEvery night I try It breaks my heart in two Good night my princess,Pop
 Love Me Out Loud Cause the silence it always hurts soundIf you love me then scream and shoutDon t wanna lose ya but you re fading outSo if you love me Love me out loudOut loud out loudLove me out loud Love me out loud Out loud out loud Love me out love me out loud love me out loud love me out Hear the roar Gotta scream until my lungs run out soundIf you love me then scream and shoutDon t wanna lose ya but you re fading outSo if you love me,Pop
 Nuh Uh Uh nuh nuh nuh nuh uh I know you still like me Uh huh Affecting your psyche likeUh huh nuh uh uh huh Nuh uh nuh uh uh huh my whole damn style fascinating yeah yeah yeahI m work of art I ll take your heart get it racingMaking you stop making you stare cause you know I m rare Right Wanna wanna wannabe right I m the one I m the real oneWanna wanna wannabe right nuh uhBad bad for the historyGood God I m a masterpiece Right Wanna wanna wannabe right I m the one I m the real one Real one Post Chorus Nuh uh uh uh uh uh wannabe right Nuh uh uh uh uh uh and you know it huhNuh uh uh uh uh uh wannabe right Yeah the real one yeah yeah lie,Pop
 ,Pop
 Killing Me Everything feels so strange Everything now has changed Lost in the maze now I m insane hide and seek Stuck with you blueA little too soon It s killing me killing me It s killing me killing meKilling me uh oh oh oh It s killing me killing me baby When does it end Try to pretend Something just fell apart broken heart Stuck with you spin blueA little too soon,Pop
 Someday One day Someday Someday One day SomedaySomedayOne day Someday,Pop
 X yeah You know you messed up boy Interlude You should ve loved me at my worstNow you just watch me on your TV screen yeah You know you messed up boy ,Pop
I feel you All the time Warning warning ah Na na na Stay tonight stay tonightStay by my sideStay tonight stay tonight stay sta a a ay Stay with me woah oh Post Chorus Tonight stay tonightTell me what you wanna doRun away or stay toni ah tonightToni ah tonight toni ah tonightTell me what you wanna doRun away or stay tonight Bridge Ah Stay tonight stay tonightStay by my sideStay tonight stay tonight stay,Pop
 Masquerade You can find me right You can find me right You can find me right masquerade masquerade Stepping clapping slow down down down down slow down masquerade oh you there you there masquerade Post Chorus You can find me right You can find me right You can find me right I like it like it dum dum dum du dum dum dum Too much color Oh yeah yeah Stepping clapping slow down down down down slow down,Pop
