filtered_lyrics,primary_genre
 Watch me danceWatch me sing Watch me danceWatch me sing I got mercy I got graceDesperado with the scalesThrow a rose on your bodyMask of Zorro I m so wanted Look scared ,R&B
 Dice and Ice cube Home girls bitches Spin it spin it pussy Chips and chips and chips and Demon under the table Risk it risk it risk it till the last dime Yeah yeah yeahRisk it risk it risk it till the last B b bitches Ice and home girl on you on home girlBitches Ice and home girl on you on home girlBitches Ice and home girl on you on home girlBitches bitchesRisk it till the last dimeGive me that hook that spin that rouletteVodka in my cup Spin it tip it strip it shawtyGive me that hook that spin that roulette Taste the muzzle of a gunTaste the of moneyYou think I m dazzle up my Tie that bitch ain t funny chips checks matches and chicks Yeah yeah yeahRisk it risk it risk it till the last,R&B
 champagne It might be pretty it might be beautifulIt might be grandThis might be right this might be justiceBut I Welcome well doneShameless friends of mine Hang my pretty head in your roomWhere is love Where is my sympathy Is it a farm Is it society Am I a tiger or a gazelle It might be pretty it might be beautifulIt might be grandThis might be right this might be justiceBut I ,R&B
 BAD SAD AND MAD Refrain You blued my bruisePink me with tiesYou red my mindYou red my mindBlack my bones andPurple my eyesYou red my mindYeah you red my mind Ah ah ah Drip drip drip drip on my waistAnd I keep keep keep keep beggingAnd addicted I digged it yeahAddicted I digged it yeahDrip drip drip drip on my waistAnd I keep keep keep keep beggingAnd addicted I digged it yeahAddicted I digged it yeah Pet me pet me Yeah Hm hm,R&B
 ,R&B
 I like that I like that Let s ride Oh oh oh oh oh Oh oh oh oh oh I like that I like that Let s ride Oh oh oh oh oh Oh oh oh oh oh  ,R&B
 Jotto mm mmJotto mm mm mmJotto Jotto pills and wine Jotto mm mmJotto mm mm mmJotto Jotto ,R&B
 PADO If someone hear me call me You are my wave mayday I m a castaway Soaking me slowly slowlyDrowning me cruelly cruellyKilling me gently gentlyCall him if you see my S O S You are my wave mayday I m a castaway,R&B
 I need you When my instinct hit me badCryin like some pussy cat on the bedAnd when my instinct hit me sadMess around this whole town Cause I m fucking mad huh huh huh When my instinct hit me badCryin like some pussy cat on the bedAnd when my instinct hit me sadMess around this whole town Cause I m fucking mad,R&B
 Feed me feed mePlease adopt mePet me pet mePlease comfort me Feed me feed mePlease adopt mePet me pet mePlease comfort me ,R&B
 I need you got my weapon not gonna let it happen check I got weapon not gonna let it happen bitch got a weapon Better than a tongue I got weaponBetter than a snitch what just happen Got a pretty throat will be takenYou better you betterYou better learn when she get Yeah yeah yeahYou better you betterYeah yeah yeah yeah yeah yeahYou ooh ooh ooh oohYou bett r learn when she l t you ooh ooh ooh ooh now you shackledMy homies now you locked up got my weapon razor now you fucked up better shut up I m that weapon Better than a tongue I got weaponBetter than a snitch what just happen Got a pretty throat will be takenYou better you betterYou better learn when she let you ooh ooh ooh oohYou better learn when she let you ooh ooh ooh ooh,R&B
 Fill me fill you i got some loveFeel me feel you i got some loveFeed me feed you with my loveFill me fill you with my l o v e Fill me fill you i got some loveFeel me feel you i got some loveFeed me feed you with my loveFill me fill you with my l o v e,R&B
Nobody told meI can have the whole chocolateSo I fed it to my buddyNobody told meI get grands for hour and halfSo I sold it for one hunnit Yeah I allow myself to lose it to lose itAllow myself to lose itYeah allow myself to lose it to lose itAllow myself to lose it Cause I sold it for one hunnitSold it for one hunnitI sold it for one hunnitYeah I allow myself to lose it Nobody told meI can taste my own birthday cakeSo I kept it in my closetNobody told meI can throw myself to doomsday lakeSo I let myself go lose it,R&B
 Wet Nightmare Pop champagne all nightPut the chandelier up highBodies on my bedAll my baddies gonna up all night hah hah hah hah hahBang hard to say goodbyeYou were my favorite thing til nowBodies on the deckCold water is up your neckLeast loved will be there say Hi Baby tell me whyYou keep showing up in my dream Oh oh oh oh oh oh ohIn my wet nightmareOh oh oh oh oh oh ohVisit my wet night terror Love got me hauntedGot me trapped inBaby got me stuck inside your heartYour body got me drowningGot me soakingBaby got me stuck inside your heartYou re pretty even dyingEven ghostingPretty even cause you broke my heartLove got you hauntedGot you trapped inBaby got you stuck inside my heart Baby tell me whyYou keep showing up in my dream ,R&B
Open your eyesMind your own businessOwn business and IKeep yourself low But I go high Yeah But I go high I m going highPull me down with your tongueI m a starTry to take me down and wave me goodbye Pull you down with my voiceFalling starsIf you need it I can be sacrificed cause,R&B
